Název školy,Identifikační znak organizace,Resortní identifikátor právnické osoby,Zřizovatel,Typ třídy,Obor,Název oboru,Forma vzdělávání,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Název okresu bydliště studenta,Kód okresu bydliště studenta dle číselníku ČSÚ,Název obce bydliště studenta,Kód obce bydliště studenta dle číselníku ČSÚ,Počty studentů s trvalým bydlištěm v dané obci dojíždějící do vyšší odborné školy,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
"Střední škola zahradnická, Kopidlno, náměstí Hilmarovo 1",87629,600012018,kraj,běžná třída,4152H01,Zahradník,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Semily,CZ0514,Jilemnice,577197,1,POINT(50.330676 15.271953),15.271953,50.330676,SPSS8699,5662,1700066.03137881,6503741.27159399
"Střední škola zahradnická, Kopidlno, náměstí Hilmarovo 1",87629,600012018,kraj,běžná třída,4152H01,Zahradník,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Semily,CZ0514,Rovensko pod Troskami,577472,1,POINT(50.330676 15.271953),15.271953,50.330676,SPSS8700,5663,1700066.03137881,6503741.27159399
"Střední škola zahradnická, Kopidlno, náměstí Hilmarovo 1",87629,600012018,kraj,běžná třída,4152H01,Zahradník,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Semily,CZ0514,Turnov,577626,1,POINT(50.330676 15.271953),15.271953,50.330676,SPSS8702,5665,1700066.03137881,6503741.27159399
"Střední škola zahradnická, Kopidlno, náměstí Hilmarovo 1",87629,600012018,kraj,běžná třída,4152H01,Zahradník,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Horní Brusnice,579238,1,POINT(50.330676 15.271953),15.271953,50.330676,SPSS8704,5667,1700066.03137881,6503741.27159399
"Střední škola zahradnická, Kopidlno, náměstí Hilmarovo 1",87629,600012018,kraj,běžná třída,4152H01,Zahradník,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Mladé Buky,579548,1,POINT(50.330676 15.271953),15.271953,50.330676,SPSS8705,5668,1700066.03137881,6503741.27159399
"Střední škola zahradnická, Kopidlno, náměstí Hilmarovo 1",87629,600012018,kraj,běžná třída,4152H01,Zahradník,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Rtyně v Podkrkonoší,579637,1,POINT(50.330676 15.271953),15.271953,50.330676,SPSS8706,5669,1700066.03137881,6503741.27159399
"Střední škola zahradnická, Kopidlno, náměstí Hilmarovo 1",87629,600012018,kraj,běžná třída,4152H01,Zahradník,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Třebihošť,579769,1,POINT(50.330676 15.271953),15.271953,50.330676,SPSS8707,5670,1700066.03137881,6503741.27159399
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Praha,CZ0100,Praha 10,500224,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8926,5672,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Benešov,CZ0201,Krhanice,529958,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8927,5673,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Praha-východ,CZ0209,Škvorec,538884,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8928,5674,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jeseník,CZ0711,Mikulovice,540382,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8929,5675,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,České Budějovice,CZ0311,Římov,545007,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8930,5676,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,České Budějovice,CZ0311,Srubec,545066,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8931,5677,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Liberec,CZ0513,Liberec,556904,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8932,5678,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Petrovice,570567,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8934,5680,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Předměřice nad Labem,570672,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8935,5681,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Stěžery,570931,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8936,5682,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Mlázovice,573213,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8938,5684,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Šárovcova Lhota,573256,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8939,5685,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Pecka,573299,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8940,5686,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Podhorní Újezd a Vojice,573311,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8941,5687,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Náchod,CZ0523,Heřmanice,574040,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8942,5688,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Semily,CZ0514,Lomnice nad Popelkou,577308,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8943,5689,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Trutnov,579025,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8944,5690,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Kocbeře,579394,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8945,5691,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Vítězná,579815,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8946,5692,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,bydliště mimo území ČR,999999,bydliště mimo území ČR,999999,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8947,5693,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,dálková,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Přerov,CZ0714,Bělotín,512231,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8948,5694,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,dálková,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Liberec,CZ0513,Liberec,556904,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8949,5695,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,dálková,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Liberec,CZ0513,Liberec,563889,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8950,5696,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,dálková,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Pardubice,CZ0532,Třebosice,572985,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8951,5697,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,dálková,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Náchod,CZ0523,Hronov,574082,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8952,5698,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,dálková,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Hostinné,579297,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8953,5699,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,dálková,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hodonín,CZ0645,Dubňany,586161,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8954,5700,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,dálková,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jihlava,CZ0632,Dobronín,587028,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8955,5701,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,2142M01,Geotechnika,dálková,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,bydliště mimo území ČR,999999,bydliště mimo území ČR,999999,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8956,5702,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,3647M01,Stavebnictví,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Louny,CZ0424,Louny,565971,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8957,5703,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,3647M01,Stavebnictví,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8958,5704,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,3647M01,Stavebnictví,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Chlumec nad Cidlinou,570109,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8959,5705,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,3647M01,Stavebnictví,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Lázně Bělohrad,573094,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8960,5706,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,3647M01,Stavebnictví,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Nová Paka,573248,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8961,5707,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,3647M01,Stavebnictví,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Slatiny,573469,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8962,5708,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,3647M01,Stavebnictví,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Semily,CZ0514,Hrubá Skála,577146,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8963,5709,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,3647M01,Stavebnictví,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Dvůr Králové nad Labem,579203,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8964,5710,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,3647M01,Stavebnictví,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Lanžov,579441,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8965,5711,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,3647M01,Stavebnictví,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Velký Vřešťov,579793,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8966,5712,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,8241M01,Užitá malba,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Mladá Boleslav,CZ0207,Bakov nad Jizerou,535427,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8968,5714,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,8241M01,Užitá malba,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Mladá Boleslav,CZ0207,Dolní Bousov,535702,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8969,5715,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,8241M01,Užitá malba,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Jičín,572659,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8972,5718,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,8241M01,Užitá malba,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Lázně Bělohrad,573094,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8974,5720,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,8241M01,Užitá malba,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Libuň,573124,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8975,5721,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,8241M01,Užitá malba,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Nová Paka,573248,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8976,5722,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,8241M01,Užitá malba,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Újezd pod Troskami,573680,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8977,5723,1740116.55777642,6509393.78726486
"Střední uměleckoprůmyslová škola sochařská a kamenická, Hořice, příspěvková organizace",87343,600012077,kraj,běžná třída,8241M01,Užitá malba,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Náchod,CZ0523,Hronov,574082,1,POINT(50.363079 15.631733),15.631733,50.363079,SPSS8978,5724,1740116.55777642,6509393.78726486
